Group Name,DN,Manager,Member Count
"Manager-0658, Personnel (OIM)","CN=Manager-0658\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-5839, Personnel (OIM)","CN=Manager-5839\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0053, Personnel (OIM)","CN=Manager-0053\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
VisualMerchandisingTeamLeader.4086,"CN=VisualMerchandisingTeamLeader.4086,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0357, Personnel (OIM)","CN=Manager-0357\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4025, Personnel (OIM)","CN=Manager-4025\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_GenericSignOn_MOD,"CN=STR_Corp_GenericSignOn_MOD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Pharmacy_MOD,"CN=STR_Pharmacy_MOD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-1225,"CN=PayrollAdmins-1225,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
DeliTeamLeader.6515,"CN=DeliTeamLeader.6515,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0661, Personnel (OIM)","CN=Manager-0661\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"0014, Customer Service Lead","CN=0014\, Customer Service Lead,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-9999,"CN=PayrollAdmins-9999,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
StoreOwner.0667,"CN=StoreOwner.0667,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
SeniorTeamLeaders.1620,"CN=SeniorTeamLeaders.1620,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4387, Personnel (OIM)","CN=Manager-4387\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PDL_HumanResources,"CN=PDL_HumanResources,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4677, Personnel (OIM)","CN=Manager-4677\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-5830, Personnel (OIM)","CN=Manager-5830\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
Dietitian.5839,"CN=Dietitian.5839,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0680, Personnel (OIM)","CN=Manager-0680\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
StoreOwner.0695,"CN=StoreOwner.0695,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
Dietitian.1620,"CN=Dietitian.1620,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0064, Personnel (OIM)","CN=Manager-0064\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0010, Personnel (OIM)","CN=Manager-0010\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0054, Personnel (OIM)","CN=Manager-0054\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
VisualMerchandisingTeamLeader.0228,"CN=VisualMerchandisingTeamLeader.0228,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-1225, Personnel (OIM)","CN=Manager-1225\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
CLC.0228,"CN=CLC.0228,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-6527,"CN=PayrollAdmins-6527,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0040, Personnel (OIM)","CN=Manager-0040\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
Dietitian.4036,"CN=Dietitian.4036,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
Dietitian.0229,"CN=Dietitian.0229,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-6519,"CN=PayrollAdmins-6519,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0002, Personnel (OIM)","CN=Manager-0002\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
ExecutiveStoreLeader.4036,"CN=ExecutiveStoreLeader.4036,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0600, Personnel (OIM)","CN=Manager-0600\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-1217, Personnel (OIM)","CN=Manager-1217\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
StoreOwner.0698,"CN=StoreOwner.0698,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0034, Personnel (OIM)","CN=Manager-0034\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-1283, Personnel (OIM)","CN=Manager-1283\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6299, Personnel (OIM)","CN=Manager-6299\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
StoreOwner.0675,"CN=StoreOwner.0675,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_PreparedFoodsSpecialists_MOD,"CN=STR_PreparedFoodsSpecialists_MOD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
FoodMarketingLeader.6515,"CN=FoodMarketingLeader.6515,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6381, Personnel (OIM)","CN=Manager-6381\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
Dietitian.6550,"CN=Dietitian.6550,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4133, Personnel (OIM)","CN=Manager-4133\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_MarketDistrict-1620,"CN=STR_MarketDistrict-1620,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
SeniorAdministrativeAssistant.6515,"CN=SeniorAdministrativeAssistant.6515,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0014, Personnel (OIM)","CN=Manager-0014\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4034, Personnel (OIM)","CN=Manager-4034\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0632, Personnel (OIM)","CN=Manager-0632\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
FoodMarketingLeader.6539,"CN=FoodMarketingLeader.6539,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4012, Personnel (OIM)","CN=Manager-4012\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
SeafoodTeamLeader.4036,"CN=SeafoodTeamLeader.4036,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6375, Personnel (OIM)","CN=Manager-6375\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
CateringTeamLeader.0072,"CN=CateringTeamLeader.0072,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0643, Personnel (OIM)","CN=Manager-0643\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6377, Personnel (OIM)","CN=Manager-6377\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6348, Personnel (OIM)","CN=Manager-6348\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6526, Personnel (OIM)","CN=Manager-6526\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0032, Personnel (OIM)","CN=Manager-0032\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0042, Personnel (OIM)","CN=Manager-0042\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
CateringTeamLeaders.6539,"CN=CateringTeamLeaders.6539,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
StoreLeader.4036,"CN=StoreLeader.4036,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4032, Personnel (OIM)","CN=Manager-4032\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
GRP_Product_Recall_Pharmacy,"CN=GRP_Product_Recall_Pharmacy,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
SeafoodTeamLeader.6539,"CN=SeafoodTeamLeader.6539,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-5874, Personnel (OIM)","CN=Manager-5874\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0039, Personnel (OIM)","CN=Manager-0039\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PrepFoodsTeamLeader.0228,"CN=PrepFoodsTeamLeader.0228,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
BWLGroup.6516,"CN=BWLGroup.6516,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0220, Personnel (OIM)","CN=Manager-0220\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0465, Personnel (OIM)","CN=Manager-0465\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-0694, Personnel (OIM)","CN=Manager-0694\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-4018, Personnel (OIM)","CN=Manager-4018\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
"Manager-6414, Personnel (OIM)","CN=Manager-6414\, Personnel (OIM),OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PDL_Columbus Operations,"CN=PDL_Columbus Operations,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
Dietitian.0665,"CN=Dietitian.0665,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
StoreOwner.0601,"CN=StoreOwner.0601,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_BWL,"CN=STR_Corp_BWL,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_RegionalMgrs_POD,"CN=STR_RegionalMgrs_POD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_SelfCheckout,"CN=STR_Corp_SelfCheckout,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-6515,"CN=PayrollAdmins-6515,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_FrontOffice_COL,"CN=STR_Corp_FrontOffice_COL,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PDL_Finance_Internal_Audits,"CN=PDL_Finance_Internal_Audits,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-4601,"CN=PayrollAdmins-4601,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
GroupLeaderCenterStore-6515,"CN=GroupLeaderCenterStore-6515,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-0220,"CN=PayrollAdmins-0220,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_Dairy_COD,"CN=STR_Corp_Dairy_COD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-0079,"CN=PayrollAdmins-0079,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_GenericSignOn_COD,"CN=STR_Corp_GenericSignOn_COD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_Entertainment_POD,"CN=STR_Corp_Entertainment_POD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
STR_Corp_FileMaintenance_COD,"CN=STR_Corp_FileMaintenance_COD,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
BakeryTeamLeader.0228,"CN=BakeryTeamLeader.0228,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-0025,"CN=PayrollAdmins-0025,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
PayrollAdmins-0209,"CN=PayrollAdmins-0209,OU=gianteagle.onmicrosoft.com,OU=Microsoft Exchange Hosted Organizations,DC=NAMPR05A004,DC=prod,DC=outlook,DC=com",,0
